epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.01,0.8724946938455105,0.24748090904265094,0.920052902515118,0.1850506626093362,0.3088345354309518
1,0.01,0.6790745761245489,0.367362058092516,0.9468377480140099,0.1218666017977078,0.216021956249733
2,0.01,0.6180837210267782,0.40435343118313494,0.7121278799497164,0.3917364125423256,0.5578696169360426
3,0.01,0.5992590505629778,0.4122252984159214,0.7314537259248587,0.3093112498828338,0.4667708057106573
4,0.01,0.5545823723077774,0.449047994432352,0.6081978376095112,0.4549310368194765,0.6219320892007634
5,0.01,0.5270904311910272,0.4466177473357082,1.1045673517080454,0.14893575646255222,0.2574518973298468
6,0.01,0.5129081103950739,0.4668763562866824,0.8166026812333327,0.35294811001960086,0.5172814693307085
7,0.01,0.5040109995752573,0.47918976819733833,0.5575127775852496,0.47919241983894934,0.6416706542104651
8,0.01,0.5167356375604868,0.4652478141658181,1.0158705399586605,0.03649377836147838,0.06957312058819001
9,0.01,0.49524326249957085,0.4679927519932277,0.7027553604199336,0.2701799503392983,0.41931414238967785
10,0.01,0.4773287922143936,0.4793228610889864,0.5917833355756906,0.34267473077214317,0.5067790093632106
11,0.01,0.44651330821216106,0.49677476350669614,0.6293419397794283,0.44491952416011105,0.6097587362395586
12,0.01,0.44286816101521254,0.5097774791780622,0.5734802337793203,0.4822316749714736,0.6451867163018493
13,0.01,0.4195394702255726,0.5381786421956958,0.6744219972537114,0.25696701900340596,0.4063445095872981
14,0.01,0.4201545659452677,0.5347776870619015,0.46932371808932377,0.5338532924557121,0.6912414810635652
15,0.01,0.41532581858336926,0.5373664750164613,0.41096431475419265,0.5538748791497079,0.7092416895095691
16,0.01,0.4251357391476631,0.5292920647352142,0.4116330330188458,0.5820976084105522,0.7298785242783685
17,0.01,0.4048276310786605,0.5401742240148744,0.40295567604211663,0.5906065024298972,0.7392317273614097
18,0.01,0.40699244756251574,0.5490434660908197,0.39626782261408294,0.5841138327619271,0.7348748278880893
19,0.01,0.4037961452268064,0.5506550810549996,0.3843033891457778,0.5837687543182752,0.7332816550972976
20,0.01,0.38793105306103826,0.5528238774426049,0.4471141865620246,0.48756240929537087,0.6507086573216876
